Name;Type;Year-1987;Year-1995;Year-2001;Year-2006
Aachen;Cnty;NW;229.740;247.923;245.778;258.770
Aalen;City;BW;62.633;66.234;66.559;66.790
Ahlen;City;NW;52.657;55.785;55.481;54.745
Arnsberg;City;NW;74.091;78.972;77.396;75.867
Aschaffenburg;Cnty;BY;60.964;66.360;68.361;68.664
Augsburg;Cnty;BY;242.819;259.699;257.836;262.512
Baden-Baden;Cnty;BW;50.127;52.745;53.084;54.855
Bad;Homburg;City;HE;50.329;51.178;52.858;51.903
Bad;Salzuflen;City;NW;50.588;55.029;55.088;54.415
Bamberg;Cnty;BY;69.100;69.652;69.396;69.574
Bayreuth;Cnty;BY;69.813;73.016;74.519;73.503
Bergheim;City;NW;54.545;60.610;63.591;62.897
Bergisch;Gladbach;City;NW;100.589;105.478;105.569;105.587
Bergkamen;City;NW;47.660;51.838;52.955;52.054
Berlin;Cnty;BE;3.260.000;3.471.418;3.388.434;3.404.037
Bielefeld;Cnty;NW;305.566;324.066;323.373;325.846
Bocholt;City;NW;67.028;70.424;72.701;73.640
Bochum;Cnty;NW;386.271;400.395;390.087;383.743
Bonn;Cnty;NW;276.653;291.431;306.016;314.299
Bottrop;Cnty;NW;114.640;120.642;120.780;118.975
Brandenburg;Cnty;BB;94.755;86.753;77.245;73.475
Braunschweig;Cnty;NI;252.351;252.544;245.516;245.467
Bremen;Cnty;HB;533.455;549.357;540.950;547.934
Bremerhaven;Cnty;HB;126.629;130.400;118.701;116.045
Castrop-Rauxel;City;NW;77.081;79.160;78.471;77.263
Celle;City;NI;71.222;73.936;71.949;71.146
Chemnitz;Cnty;SN;313.799;288.268;255.798;245.700
Cottbus;Cnty;BB;126.592;126.343;111.125;103.837
Cuxhaven;City;NI;56.049;55.229;53.168;51.899
Darmstadt;Cnty;HE;134.272;138.980;138.457;141.257
Delmenhorst;Cnty;NI;72.072;78.226;76.284;75.320
Dessau;Cnty;ST;103.538;92.778;83.138;77.394
Detmold;City;NW;65.502;73.343;73.771;73.707
Dinslaken;City;NW;62.458;69.148;71.005;70.233
Dormagen;City;NW;54.790;61.155;63.295;63.474
Dorsten;City;NW;73.744;80.735;81.293;79.136
Dortmund;Cnty;NW;584.089;598.840;589.240;587.624
Dresden;Cnty;SN;519.810;495.242;478.631;504.795
Duisburg;Cnty;NW;525.378;535.250;512.030;499.111
Düren;{Duren};City;NW;82.857;90.274;92.292;92.614
Düsseldorf;{Dusseldorf};Cnty;NW;563.531;571.030;570.765;577.505
Emden;Cnty;NI;50.144;51.559;51.185;51.742
Erftstadt;City;NW;43.939;48.717;50.998;51.082
Erfurt;Cnty;TH;217.134;211.108;200.126;202.658
Erlangen;Cnty;BY;99.808;101.406;101.912;103.753
Eschweiler;City;NW;53.058;56.171;55.257;55.646
Essen;Cnty;NW;623.427;614.861;591.889;583.198
Esslingen;City;BW;90.557;90.029;90.905;91.758
Euskirchen;City;NW;47.050;52.205;54.047;55.360
Flensburg;Cnty;SH;86.554;87.276;84.480;86.630
Frankfurt;Cnty;HE;618.266;650.055;641.076;652.610
Frankfurt;Cnty;BB;86.441;80.807;70.308;62.594
Freiburg;Cnty;BW;178.672;199.273;208.294;217.547
Friedrichshafen;City;BW;51.808;56.315;57.538;58.271
Fulda;City;HE;54.322;60.851;62.819;63.886
Fürth;{Furth};Cnty;BY;97.480;108.418;111.257;113.627
Garbsen;City;NI;58.081;62.681;63.271;62.942
Gelsenkirchen;Cnty;NW;287.508;291.164;276.740;266.772
Gera;Cnty;TH;132.319;123.555;109.926;102.733
Gießen;City;HE;69.824;73.889;73.295;73.958
Gladbeck;City;NW;78.343;79.605;77.460;76.373
Göppingen;{Goppingen};City;BW;52.151;58.086;57.536;57.627
Görlitz;{Gorlitz};Cnty;SN;78.856;67.933;60.264;57.111
Göttingen;{Gottingen};City;NI;114.698;126.253;123.822;121.581
Greifswald;Cnty;MV;67.298;60.772;53.533;53.434
Grevenbroich;City;NW;58.611;63.604;65.039;64.388
